town	district_code	total_budget	average_salary	fte
Dracut	790000	$16,196,707 	$72,274 	224.1
Dudley-Charlton Reg	6580000	$21,528,247 	$76,341 	282
Duxbury	820000	$19,606,021 	$88,595 	221.3
East Bridgewater	830000	$11,717,567 	$76,336 	153.5
East Longmeadow	870000	$16,191,607 	$77,472 	209
Eastham	850000	$1,951,119 	$93,804 	20.8
Easthampton	860000	$8,158,162 	$69,967 	116.6
Easton	880000	$21,530,332 	$83,580 	257.6
Edgartown	890000	$4,135,762 	$94,640 	43.7
Erving	910000	$1,410,673 	$73,473 	19.2
Essex North Shore Agricultural and Technical School District	8170000	$10,638,303 	$85,243 	124.8
Everett	930000	$48,482,790 	$88,022 	550.8
Fairhaven	940000	$10,604,503 	$72,634 	146
Fall River	950000	$57,335,971 	$80,994 	707.9
Falmouth	960000	$23,832,373 	$82,608 	288.5
Farmington River Reg	6620000	$607,990 	$49,835 	12.2
Fitchburg	970000	$29,360,372 	$77,102 	380.8
Florida	980000	$677,101 	$62,695 	10.8
Foxborough	990000	$18,747,229 	$91,495 	204.9
Framingham	1000000	$67,220,425 	$95,592 	703.2
Franklin	1010000	$31,791,470 	$80,587 	394.5
Franklin County Regional Vocational Technical	8180000	$4,370,401 	$84,698 	51.6
Freetown-Lakeville	6650000	$15,364,438 	$76,861 	199.9
Frontier	6700000	$3,741,616 	$71,541 	52.3
Gardner	1030000	$12,592,604 	$72,538 	173.6
Gateway	6720000	$5,208,312 	$64,063 	81.3
Georgetown	1050000	$8,187,968 	$76,309 	107.3
Gill	6740000	$5,621,004 	$65,437 	85.9
Montague	6740000	$5,621,004 	$65,437 	85.9
Gloucester	1070000	$21,521,041 	$85,198 	252.6
Grafton	1100000	$18,162,214 	$76,344 	237.9
Granby	1110000	$3,758,318 	$62,224 	60.4
Greater Fall River Regional Vocational Technical	8210000	$12,534,697 	$94,246 	133
Greater Lawrence Regional Vocational Technical	8230000	$13,412,438 	$88,589 	151.4
Greater Lowell Regional Vocational Technical	8280000	$17,365,570 	$90,919 	191
Greater New Bedford Regional Vocational Technical	8250000	$16,641,758 	$95,697 	173.9
Greenfield	1140000	$10,487,112 	$68,142 	153.9
Dunstable	6730000	$15,381,663 	$83,460 	184.3
Groton	6730000	$15,381,663 	$83,460 	184.3
Hadley	1170000	$3,470,797 	$69,416 	50
Halifax	1180000	$3,343,709 	$95,535 	35
Hamilton	6750000	$12,621,610 	$86,096 	146.6
Wenham	6750000	$12,621,610 	$86,096 	146.6
Hampden	6800000	$17,392,840 	$82,197 	211.6
Wilbraham	6800000	$17,392,840 	$82,197 	211.6
Hampshire	6830000	$5,284,118 	$70,833 	74.6
Hancock	1210000	$488,262 	$54,251 	9
Hanover	1220000	$17,426,505 	$89,689 	194.3
Harvard	1250000	$8,623,611 	$93,735 	92
Hatfield	1270000	$2,775,821 	$66,566 	41.7
Haverhill	1280000	$44,490,768 	$74,287 	598.9
Hawlemont	6850000	$995,952 	$82,996 	12
Hingham	1310000	$29,164,434 	$97,280 	299.8
Holbrook	1330000	$6,930,414 	$74,601 	92.9
Holland	1350000	$1,308,017 	$79,757 	16.4
Holliston	1360000	$18,036,414 	$84,877 	212.5
Holyoke	1370000	$28,333,319 	$71,621 	395.6
Hoosac Valley Regional	6030000	$7,044,317 	$81,911 	86
Hopedale	1380000	$6,872,184 	$70,701 	97.2
Hopkinton	1390000	$25,141,830 	$93,778 	268.1
Hudson	1410000	$18,565,504 	$81,072 	229
Hull	1420000	$6,881,656 	$83,820 	82.1
Ipswich	1440000	$12,348,077 	$79,104 	156.1
King Philip	6900000	$10,754,916 	$79,197 	135.8
Kingston	1450000	$5,528,984 	$81,070 	68.2
Lawrence	1490000	$77,864,114 	$69,596 	1,118.80
Lee	1500000	$4,880,813 	$68,551 	71.2
Leicester	1510000	$8,698,884 	$82,768 	105.1
Lenox	1520000	$6,333,374 	$79,665 	79.5
Leominster	1530000	$33,152,962 	$75,588 	438.6
Leverett	1540000	$1,011,608 	$59,858 	16.9
Lexington	1550000	$57,108,214 	$92,678 	616.2
Lincoln	1570000	$11,228,180 	$93,180 	120.5
Lincoln	6950000	$13,883,802 	$107,460 	129.2
Sudbury	6950000	$13,883,802 	$107,460 	129.2
Littleton	1580000	$9,519,469 	$78,543 	121.2
Longmeadow	1590000	$18,969,545 	$77,808 	243.8
Lowell	1600000	$84,432,261 	$78,200 	1,079.70
Ludlow	1610000	$17,057,839 	$73,780 	231.2
Lunenburg	1620000	$8,920,016 	$83,054 	107.4
Lynn	1630000	$93,310,156 	$79,555 	1,172.90
Lynnfield	1640000	$15,196,481 	$93,517 	162.5
Malden	1650000	$40,103,449 	$84,785 	473
Manchester Essex Regional	6980000	$11,330,275 	$86,227 	131.4
Mansfield	1670000	$26,817,649 	$89,125 	300.9
Marblehead	1680000	$21,360,752 	$83,051 	257.2
Marion	1690000	$3,177,389 	$97,766 	32.5
Marlborough	1700000	$31,954,351 	$82,442 	387.6
Marshfield	1710000	$25,888,578 	$79,755 	324.6
Martha's Vineyard	7000000	$7,351,893 	$97,895 	75.1
Masconomet	7050000	$13,414,616 	$101,319 	132.4
Mashpee	1720000	$10,984,363 	$78,685 	139.6
Mattapoisett	1730000	$3,381,549 	$91,147 	37.1
Maynard	1740000	$9,326,836 	$83,424 	111.8
Medfield	1750000	$19,363,750 	$98,997 	195.6
Medford	1760000	$34,536,308 	$86,949 	397.2
Medway	1770000	$13,193,043 	$82,251 	160.4
Melrose	1780000	$18,906,000 	$69,025 	273.9
Mendon	7100000	$13,473,622 	$86,148 	156.4
Upton	7100000	$13,473,622 	$86,148 	156.4
Methuen	1810000	$39,065,358 	$78,476 	497.8
Middleborough	1820000	$17,086,827 	$78,416 	217.9
Middleton	1840000	$5,061,753 	$77,754 	65.1
Milford	1850000	$28,670,097 	$84,923 	337.6
Millbury	1860000	$11,012,064 	$83,615 	131.7
Millis	1870000	$8,592,634 	$91,704 	93.7
Milton	1890000	$26,863,007 	$86,571 	310.3
Minuteman Regional Vocational Technical	8300000	$8,067,636 	$104,099 	77.5
Mohawk Trail	7170000	$5,725,900 	$72,849 	78.6
Monomoy Regional School District	7120000	$13,524,530 	$80,027 	169
Monson	1910000	$5,209,659 	$64,317 	81
Montachusett Regional Vocational Technical	8320000	$9,959,340 	$85,856 	116
Mount Greylock	7150000	$7,775,496 	$73,492 	105.8
Nahant	1960000	$753,403 	$78,479 	9.6
Nantucket	1970000	$14,151,500 	$96,400 	146.8
Narragansett	7200000	$6,845,854 	$68,186 	100.4
Nashoba	7250000	$22,509,000 	$85,068 	264.6
Nashoba Valley Regional Vocational Technical	8520000	$5,499,707 	$84,611 	65
Natick	1980000	$35,114,259 	$81,434 	431.2
Nauset	6600000	$12,356,259 	$90,588 	136.4
Needham	1990000	$39,349,875 	$92,960 	423.3
New Bedford	2010000	$74,123,951 	$77,349 	958.3
New Salem-Wendell	7280000	$894,177 	$65,268 	13.7
Newburyport	2040000	$16,415,031 	$84,050 	195.3
Newton	2070000	$96,521,591 	$88,804 	1,086.90
Norfolk	2080000	$6,912,539 	$87,500 	79
Norfolk County Agricultural	9150000	$4,424,290 	$78,864 	56.1
North Adams	2090000	$8,336,360 	$64,473 	129.3
North Andover	2110000	$25,754,332 	$81,527 	315.9
North Attleborough	2120000	$23,268,883 	$81,559 	285.3
North Brookfield	2150000	$2,912,049 	$63,582 	45.8
North Middlesex	7350000	$18,571,164 	$75,065 	247.4
North Reading	2170000	$16,904,268 	$81,584 	207.2
Northampton	2100000	$15,382,729 	$65,209 	235.9
Northampton-Smith Vocational Agricultural	4060000	$3,789,165 	$67,664 	56
Northboro-Southboro	7300000	$10,540,890 	$91,342 	115.4
Northborough	2130000	$12,790,250 	$98,843 	129.4
Northbridge	2140000	$11,895,607 	$74,441 	159.8
Northeast Metropolitan Regional Vocational Technical	8530000	$11,099,128 	$92,802 	119.6
Northern Berkshire Regional Vocational Technical	8510000	$4,187,345 	$83,580 	50.1
Norton	2180000	$14,743,570 	$87,137 	169.2
Norwell	2190000	$14,632,947 	$88,792 	164.8
Norwood	2200000	$24,784,035 	$88,388 	280.4
Oak Bluffs	2210000	$4,440,119 	$89,881 	49.4
Old Colony Regional Vocational Technical	8550000	$4,502,669 	$75,044 	60
Old Rochester	7400000	$7,900,996 	$87,789 	90
Orange	2230000	$2,724,623 	$63,958 	42.6
Oxford	2260000	$8,605,419 	$70,478 	122.1
Palmer	2270000	$8,416,806 	$69,965 	120.3
Pathfinder Regional Vocational Technical	8600000	$5,508,043 	$73,441 	75
Peabody	2290000	$38,300,123 	$85,244 	449.3
Pelham	2300000	$854,764 	$70,063 	12.2
Pembroke	2310000	$16,491,238 	$86,750 	190.1
Pentucket	7450000	$14,701,443 	$75,431 	194.9
Petersham	2340000	$510,198 	$39,246 	13
Pioneer Valley	7500000	$4,064,108 	$67,962 	59.8
Pittsfield	2360000	$32,208,324 	$65,584 	491.1
Plainville	2380000	$4,285,522 	$82,414 	52
Plymouth	2390000	$48,212,863 	$76,082 	633.7
Plympton	2400000	$1,505,634 	$87,031 	17.3
Quabbin	7530000	$10,675,757 	$75,181 	142
Quaboag Regional	7780000	$6,670,329 	$66,770 	99.9
Quincy	2430000	$61,389,577 	$86,635 	708.6
Ralph C Mahar	7550000	$4,201,165 	$66,369 	63.3
Randolph	2440000	$20,221,083 	$81,340 	248.6
Reading	2460000	$25,614,679 	$81,265 	315.2
Revere	2480000	$48,457,924 	$85,089 	569.5
Richmond	2490000	$1,476,386 	$73,452 	20.1
Rochester	2500000	$3,458,896 	$91,748 	37.7
Rockland	2510000	$12,697,280 	$71,980 	176.4
Rockport	2520000	$7,111,703 	$78,931 	90.1
Rowe	2530000	$581,667 	$70,080 	8.3
Salem	2580000	$32,088,783 	$97,534 	329
Sandwich	2610000	$16,254,709 	$81,355 	199.8
Saugus	2620000	$16,523,950 	$78,350 	210.9
Savoy	2630000	$292,547 	$45,007 	6.5
Scituate	2640000	$21,913,739 	$89,590 	244.6
Seekonk	2650000	$13,362,917 	$82,640 	161.7
Sharon	2660000	$25,428,551 	$94,777 	268.3
Shawsheen Valley Regional Vocational Technical	8710000	$12,652,436 	$99,469 	127.2
Sherborn	2690000	$3,292,996 	$98,593 	33.4
Shrewsbury	2710000	$34,279,957 	$82,305 	416.5
Shutesbury	2720000	$1,023,856 	$64,393 	15.9
Silver Lake	7600000	$12,319,838 	$90,720 	135.8
Somerset	2730000	$10,384,643 	$79,515 	130.6
Somerset Berkley Regional School District	7630000	$6,405,495 	$79,473 	80.6
Somerville	2740000	$39,688,185 	$89,167 	445.1
South Hadley	2780000	$10,640,720 	$71,848 	148.1
South Middlesex Regional Vocational Technical	8290000	$6,998,134 	$86,290 	81.1
South Shore Regional Vocational Technical	8730000	$5,379,145 	$84,445 	63.7
Southampton	2750000	$2,880,053 	$75,001 	38.4
Southborough	2760000	$10,661,889 	$100,869 	105.7
Southbridge	2770000	$11,215,546 	$69,792 	160.7
Southeastern Regional Vocational Technical	8720000	$11,763,043 	$85,674 	137.3
Southern Berkshire	7650000	$5,692,282 	$74,022 	76.9
Southern Worcester County Regional Vocational Technical	8760000	$8,936,350 	$79,789 	112
Southwick-Tolland-Granville Regional School District	7660000	$8,645,780 	$67,810 	127.5
Spencer-E Brookfield	7670000	$7,632,170 	$68,084 	112.1
Springfield	2810000	$144,557,274 	$70,854 	2,040.20
Stoneham	2840000	$15,512,883 	$78,626 	197.3
Stoughton	2850000	$26,524,991 	$87,196 	304.2
Sturbridge	2870000	$5,755,605 	$82,814 	69.5
Sudbury	2880000	$19,713,967 	$100,633 	195.9
Sunderland	2890000	$1,455,651 	$66,773 	21.8
Sutton	2900000	$8,109,941 	$80,456 	100.8
Swampscott	2910000	$15,019,329 	$81,317 	184.7
Swansea	2920000	$11,899,409 	$74,792 	159.1
Tantasqua	7700000	$11,329,541 	$82,637 	137.1
Taunton	2930000	$45,035,413 	$83,245 	541
Tewksbury	2950000	$20,843,655 	$79,769 	261.3
Tisbury	2960000	$3,683,043 	$95,913 	38.4
Topsfield	2980000	$4,773,912 	$86,016 	55.5
Tri-County Regional Vocational Technical	8780000	$8,356,997 	$92,139 	90.7
Triton	7730000	$16,403,301 	$84,033 	195.2
Truro	3000000	$1,320,344 	$84,098 	15.7
Tyngsborough	3010000	$10,701,481 	$83,540 	128.1
Up-Island Regional	7740000	$4,639,018 	$88,700 	52.3
Upper Cape Cod Regional Vocational Technical	8790000	$6,076,711 	$76,629 	79.3
Uxbridge	3040000	$9,979,239 	$76,704 	130.1
Wachusett	7750000	$37,684,439 	$83,930 	449
Wakefield	3050000	$21,993,832 	$83,373 	263.8
Wales	3060000	$863,499 	$83,029 	10.4
Walpole	3070000	$24,261,607 	$83,747 	289.7
Waltham	3080000	$45,293,802 	$85,508 	529.7
Ware	3090000	$6,345,819 	$67,010 	94.7
Wareham	3100000	$14,674,467 	$79,709 	184.1
Watertown	3140000	$22,533,473 	$83,861 	268.7
Wayland	3150000	$22,586,130 	$102,292 	220.8
Webster	3160000	$10,297,537 	$73,923 	139.3
Wellesley	3170000	$39,912,877 	$101,508 	393.2
Wellfleet	3180000	$1,055,322 	$94,225 	11.2
West Boylston	3220000	$6,733,028 	$81,612 	82.5
West Bridgewater	3230000	$7,306,334 	$79,590 	91.8
West Springfield	3320000	$23,926,068 	$72,990 	327.8
Westborough	3210000	$27,573,006 	$83,176 	331.5
Westfield	3250000	$31,645,720 	$73,578 	430.1
Westford	3260000	$32,207,894 	$88,289 	364.8
Westhampton	3270000	$956,020 	$65,481 	14.6
Weston	3300000	$19,115,143 	$105,960 	180.4
Westport	3310000	$9,460,609 	$83,280 	113.6
Westwood	3350000	$24,123,358 	$99,642 	242.1
Weymouth	3360000	$36,178,090 	$80,324 	450.4
Whately	3370000	$825,546 	$66,576 	12.4
Whitman-Hanson	7800000	$20,859,789 	$86,197 	242
Whittier Regional Vocational Technical	8850000	$10,192,769 	$89,567 	113.8
Williamsburg	3400000	$1,137,608 	$68,120 	16.7
Wilmington	3420000	$23,059,212 	$84,590 	272.6
Winchendon	3430000	$7,135,255 	$80,990 	88.1
Winchester	3440000	$30,611,902 	$85,916 	356.3
Winthrop	3460000	$11,307,947 	$75,638 	149.5
Woburn	3470000	$30,879,774 	$84,510 	365.4
Worcester	3480000	$164,224,420 	$86,937 	1,889.00
Worthington	3490000	$440,385 	$59,511 	7.4
Wrentham	3500000	$6,276,325 	$79,750 	78.7
State Total	0	$6,013,366,546 	$84,589 	71,089.60
